time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=3s
0.000	0
10.442	0
20.884	0
31.325	0
41.767	0
52.209	0
62.651	0
73.093	0
83.534	0
93.976	0
104.418	0
114.860	0
125.302	0
135.743	0
146.185	0
156.627	0
167.069	0
177.511	0
187.952	0
198.394	0
208.836	0
219.278	0
229.720	0
240.161	0
250.603	0
261.045	0
271.487	0
281.929	0
292.370	0
302.812	0
313.254	0
323.696	0
334.138	0
344.579	0
355.021	0
365.463	0
375.905	0
386.347	0
396.788	0
407.230	0
417.672	0
428.114	0
438.556	0
448.997	0
459.439	0
469.881	0
480.323	0
490.765	0
501.206	0
511.648	0
522.090	0
532.532	0
542.974	0
553.415	0
563.857	0
574.299	0
584.741	0
595.183	0
605.624	0
616.066	0
626.508	0
636.950	0
647.392	0
657.833	0
668.275	0
678.717	0
689.159	0
699.601	0
710.042	0
720.484	0
730.926	0
741.368	0
751.810	0
762.251	0
772.693	0
783.135	0
793.577	0
804.019	0
814.460	0
824.902	0
835.344	0
845.786	0
856.228	0
866.669	0
877.111	0
887.553	0
897.995	0
908.437	0
918.878	0
929.320	0
939.762	0
950.204	0
960.646	0
971.087	0
981.529	0
991.971	0
1002.413	0
1012.855	0
1023.296	0
1033.738	0
1044.180	0
1054.622	0
1065.064	0
1075.505	0
1085.947	0
1096.389	0
1106.831	0
1117.273	0
1127.714	0
1138.156	0
1148.598	0
1159.040	0
1169.482	0
1179.923	0
1190.365	0
1200.807	0
1211.249	0
1221.691	0
1232.132	0
1242.574	0
1253.016	0
1263.458	0
1273.900	0
1284.341	0
1294.783	0
1305.225	0
1315.667	0
1326.109	0
1336.550	0
1346.992	0
1357.434	0
1367.876	0
1378.318	0
1388.759	0
1399.201	0
1409.643	0
1420.085	0
1430.527	0
1440.968	0
1451.410	0
1461.852	0
1472.294	0
1482.736	0
1493.177	0
1503.619	0
1514.061	0
1524.503	0
1534.945	0
1545.386	0
1555.828	0
1566.270	0
1576.712	0
1587.154	0
1597.595	0
1608.037	0
1618.479	0
1628.921	0
1639.363	0
1649.804	0
1660.246	0
1670.688	0
1681.130	0
1691.572	0
1702.013	0
1712.455	0
1722.897	0
1733.339	0
1743.781	0
1754.222	0
1764.664	0
1775.106	0
1785.548	0
1795.990	0
1806.431	0
1816.873	0
1827.315	0
1837.757	0
1848.199	0
1858.640	0
1869.082	0
1879.524	0
1889.966	0
1900.408	0
1910.849	0
1921.291	0
1931.733	0
1942.175	0
1952.617	0
1963.058	0
1973.500	0
1983.942	0
1994.384	0
2004.826	0
2015.267	0
2025.709	0
2036.151	0
2046.593	0
2057.035	0
2067.476	0
2077.918	0
2088.360	0
2098.802	0
2109.244	0
2119.685	0
2130.127	0
2140.569	0
2151.011	0
2161.453	0
