time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=5s
0.000	0
26.210	0
52.419	0
78.629	0
104.838	0
131.048	0
157.258	0
183.467	0
209.677	0
235.886	0
262.096	0
288.306	0
314.515	0
340.725	0
366.934	0
393.144	0
419.354	0
445.563	0
471.773	0
497.982	0
524.192	0
550.402	0
576.611	0
602.821	0
629.030	0
655.240	0
681.450	0
707.659	0
733.869	0
760.078	0
786.288	0
812.498	0
838.707	0
864.917	0
891.126	0
917.336	0
943.546	0
969.755	0
995.965	0
1022.174	0
1048.384	0
1074.594	0
1100.803	0
1127.013	0
1153.222	0
1179.432	0
1205.642	0
1231.851	0
1258.061	0
1284.270	0
1310.480	0
1336.690	0
1362.899	0
1389.109	0
1415.318	0
1441.528	0
1467.738	0
1493.947	0
1520.157	0
1546.366	0
1572.576	0
1598.786	0
1624.995	0
1651.205	0
1677.414	0
1703.624	510
1729.834	0
1756.043	0
1782.253	0
1808.462	0
1834.672	0
1860.882	0
1887.091	0
1913.301	0
1939.510	0
1965.720	0
1991.930	0
2018.139	0
2044.349	0
2070.558	0
2096.768	0
2122.978	0
2149.187	0
2175.397	0
2201.606	0
2227.816	0
2254.026	0
2280.235	0
2306.445	0
2332.654	0
2358.864	0
2385.074	0
2411.283	0
2437.493	0
2463.702	0
2489.912	0
2516.122	0
2542.331	0
2568.541	0
2594.750	0
2620.960	0
2647.170	0
2673.379	0
2699.589	0
2725.798	0
2752.008	0
2778.218	0
2804.427	0
2830.637	0
2856.846	0
2883.056	0
2909.266	0
2935.475	0
2961.685	0
2987.894	0
3014.104	0
3040.314	0
3066.523	0
3092.733	0
3118.942	0
3145.152	0
3171.362	0
3197.571	0
3223.781	0
3249.990	0
3276.200	0
3302.410	0
3328.619	0
3354.829	0
3381.038	0
3407.248	0
3433.458	0
3459.667	0
3485.877	0
3512.086	0
3538.296	0
3564.506	0
3590.715	0
3616.925	0
3643.134	0
3669.344	0
3695.554	0
3721.763	0
3747.973	0
3774.182	0
3800.392	0
3826.602	0
3852.811	0
3879.021	0
3905.230	0
3931.440	0
3957.650	0
3983.859	0
4010.069	0
4036.278	0
4062.488	0
4088.698	0
4114.907	0
4141.117	0
4167.326	0
4193.536	0
4219.746	0
4245.955	0
4272.165	0
4298.374	0
4324.584	0
4350.794	0
4377.003	0
4403.213	0
4429.422	0
4455.632	0
4481.842	0
4508.051	0
4534.261	0
4560.470	0
4586.680	0
4612.890	0
4639.099	0
4665.309	0
4691.518	0
4717.728	0
4743.938	0
4770.147	0
4796.357	0
4822.566	0
4848.776	0
4874.986	0
4901.195	0
4927.405	0
4953.614	0
4979.824	0
5006.034	0
5032.243	0
5058.453	0
5084.662	0
5110.872	0
5137.082	0
5163.291	0
5189.501	0
5215.710	0
5241.920	0
5268.130	0
5294.339	0
5320.549	0
5346.758	0
5372.968	0
5399.178	0
5425.387	0
5451.597	0
5477.806	0
5504.016	0
5530.226	0
5556.435	0
5582.645	0
5608.854	0
5635.064	0
5661.274	0
5687.483	0
5713.693	0
5739.902	0
5766.112	0
5792.322	0
5818.531	0
5844.741	0
5870.951	0
5897.160	0
5923.370	0
5949.579	0
5975.789	0
6001.999	0
6028.208	0
6054.418	0
6080.627	0
6106.837	0
6133.047	0
6159.256	0
6185.466	0
6211.675	0
6237.885	0
6264.095	0
6290.304	0
6316.514	0
6342.723	0
6368.933	0
6395.143	0
6421.352	0
6447.562	0
6473.771	0
6499.981	0
6526.191	0
6552.400	0
6578.610	0
6604.819	0
6631.029	0
6657.239	0
6683.448	0
6709.658	0
6735.867	0
6762.077	0
6788.287	0
6814.496	0
6840.706	0
6866.915	0
6893.125	0
6919.335	0
6945.544	0
6971.754	0
6997.963	0
