time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=4s
0.000	0
2.610	0
5.221	0
7.831	0
10.442	0
13.052	0
15.663	0
18.273	0
20.884	0
23.494	0
26.105	0
28.715	0
31.325	0
33.936	0
36.546	0
39.157	0
41.767	0
44.378	0
46.988	0
49.599	0
52.209	0
54.819	0
57.430	0
60.040	0
62.651	0
65.261	0
67.872	0
70.482	0
73.093	0
75.703	0
78.314	0
80.924	0
83.534	0
86.145	0
88.755	0
91.366	0
93.976	0
96.587	0
99.197	0
101.808	0
104.418	0
107.028	0
109.639	0
112.249	0
114.860	0
117.470	0
120.081	0
122.691	0
125.302	0
127.912	0
130.523	0
133.133	0
135.743	0
138.354	0
140.964	0
143.575	0
146.185	0
148.796	0
151.406	0
154.017	0
156.627	0
159.237	0
161.848	0
164.458	0
167.069	0
169.679	0
172.290	0
174.900	0
177.511	0
180.121	0
182.732	0
185.342	0
187.952	0
190.563	0
193.173	0
195.784	0
198.394	0
201.005	0
203.615	0
206.226	0
208.836	0
211.446	0
214.057	0
216.667	0
219.278	0
221.888	0
224.499	0
227.109	0
229.720	0
232.330	0
234.941	0
237.551	0
240.161	0
242.772	0
245.382	0
247.993	0
250.603	0
253.214	0
255.824	0
258.435	0
261.045	0
263.655	0
266.266	0
268.876	0
271.487	0
274.097	0
276.708	0
279.318	0
281.929	0
284.539	0
287.150	0
289.760	0
292.370	0
294.981	0
297.591	0
300.202	0
302.812	0
305.423	0
308.033	0
310.644	0
313.254	0
315.864	0
318.475	0
321.085	0
323.696	0
326.306	0
328.917	0
331.527	0
334.138	0
336.748	0
339.359	0
341.969	0
344.579	0
347.190	0
349.800	0
352.411	0
355.021	0
357.632	0
360.242	0
362.853	0
365.463	0
368.073	0
370.684	0
373.294	0
375.905	0
378.515	0
381.126	0
383.736	0
386.347	0
388.957	0
391.568	0
394.178	0
396.788	0
399.399	0
402.009	0
404.620	0
407.230	0
409.841	0
412.451	0
415.062	0
417.672	0
420.282	0
422.893	0
425.503	0
428.114	0
430.724	0
433.335	0
435.945	0
438.556	0
441.166	0
443.777	0
446.387	0
448.997	0
451.608	0
454.218	0
456.829	0
459.439	0
462.050	0
464.660	0
467.271	0
469.881	0
472.491	0
475.102	0
477.712	0
480.323	0
482.933	0
485.544	0
488.154	0
490.765	0
493.375	0
495.986	0
498.596	0
501.206	0
503.817	0
506.427	0
509.038	0
511.648	0
514.259	0
516.869	0
519.480	0
522.090	0
524.700	0
527.311	0
529.921	0
532.532	0
535.142	0
537.753	0
540.363	0
542.974	0
545.584	0
548.195	0
550.805	0
553.415	0
556.026	0
558.636	0
561.247	0
563.857	0
566.468	0
569.078	0
571.689	0
574.299	0
576.909	0
579.520	0
582.130	0
584.741	0
587.351	0
589.962	0
592.572	0
595.183	0
597.793	0
600.404	0
603.014	0
605.624	0
608.235	0
610.845	0
613.456	0
616.066	0
618.677	0
621.287	0
623.898	0
626.508	0
629.118	0
631.729	0
634.339	0
636.950	0
639.560	0
642.171	0
644.781	0
647.392	0
650.002	0
652.613	0
655.223	0
657.833	0
660.444	0
663.054	0
665.665	0
668.275	0
670.886	0
673.496	0
676.107	0
678.717	0
681.327	0
683.938	0
686.548	0
689.159	0
691.769	0
694.380	0
696.990	0
699.601	0
702.211	0
704.822	0
707.432	0
710.042	0
712.653	0
715.263	0
717.874	0
720.484	0
723.095	0
725.705	0
728.316	0
730.926	0
733.536	0
736.147	0
738.757	0
741.368	0
743.978	0
746.589	0
749.199	0
751.810	0
754.420	0
757.031	0
759.641	0
762.251	0
764.862	0
767.472	0
770.083	0
772.693	0
775.304	0
777.914	0
780.525	0
783.135	0
785.745	0
788.356	0
790.966	0
793.577	0
796.187	0
