nm	02_Sample_Exc=300nm_Em=450nm_T=300K_I=10mkA_Fon=201.txt
400.000	48996.0	0.0
409.999	48996.0	0.0
419.998	48996.0	0.0
429.997	48996.0	0.0
439.996	48996.0	0.0
449.995	48996.0	0.0
459.994	48996.0	0.0
460.993	48996.0	0.0
461.992	48995.5	0.0
462.991	48996.0	0.0
463.990	48995.5	0.0
464.989	48995.5	0.0
469.987	48996.0	0.0
474.985	48996.0	0.0
479.983	48996.0	0.0
484.981	48996.0	0.0
489.979	48996.0	0.0
