time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=4s
0.000	0
0.955	0
1.910	0
2.864	0
3.819	0
4.774	0
5.729	0
6.684	0
7.638	24
8.593	260
9.548	85
10.503	0
11.458	0
12.412	0
13.367	0
14.322	0
15.277	0
16.232	0
17.186	0
18.141	0
19.096	0
20.051	0
21.006	0
21.960	0
22.915	0
23.870	0
24.825	0
25.780	0
26.734	0
27.689	0
28.644	0
29.599	0
30.554	0
31.508	0
32.463	0
33.418	0
34.373	0
35.328	0
36.282	0
37.237	0
38.192	0
39.147	0
40.102	0
41.056	0
42.011	0
42.966	0
43.921	0
44.876	0
45.830	0
46.785	0
47.740	0
48.695	0
49.650	0
50.604	0
51.559	0
52.514	0
53.469	0
54.424	0
55.378	0
56.333	0
57.288	0
58.243	0
59.198	0
60.152	0
61.107	0
62.062	0
63.017	0
63.972	0
64.926	0
65.881	0
66.836	0
67.791	0
68.746	0
69.700	0
70.655	0
71.610	0
72.565	0
73.520	0
74.474	0
75.429	0
76.384	0
77.339	0
78.294	0
79.248	0
80.203	0
81.158	0
82.113	0
83.068	0
84.022	0
84.977	0
85.932	0
86.887	0
87.842	0
88.796	0
89.751	0
90.706	0
91.661	0
92.616	0
93.570	0
94.525	0
95.480	0
96.435	0
97.390	0
98.344	0
99.299	0
100.254	0
101.209	0
102.164	0
103.118	0
104.073	0
105.028	0
105.983	0
106.938	0
107.892	0
108.847	0
109.802	0
110.757	0
111.712	0
112.666	0
113.621	0
114.576	0
115.531	0
116.486	0
117.440	0
118.395	0
119.350	0
120.305	0
121.260	0
122.214	0
123.169	0
124.124	0
125.079	0
126.034	0
126.988	0
127.943	0
128.898	0
129.853	0
130.808	0
131.762	0
132.717	0
133.672	0
134.627	0
135.582	0
136.536	0
137.491	0
138.446	0
139.401	0
140.356	0
141.310	0
142.265	0
143.220	0
144.175	0
145.130	0
146.084	0
147.039	0
147.994	0
148.949	0
149.904	0
150.858	0
151.813	0
152.768	0
153.723	0
154.678	0
155.632	0
156.587	0
157.542	0
158.497	0
159.452	0
160.406	0
161.361	0
162.316	0
163.271	0
164.226	0
165.180	0
166.135	0
167.090	0
168.045	0
169.000	0
169.954	0
170.909	0
171.864	0
172.819	0
173.774	0
174.728	0
175.683	0
176.638	0
177.593	0
178.548	0
179.502	0
180.457	0
181.412	0
182.367	0
183.322	0
184.276	0
185.231	0
186.186	0
187.141	0
188.096	0
189.050	0
190.005	0
190.960	0
191.915	0
192.870	0
193.824	0
194.779	0
195.734	0
196.689	0
197.644	0
198.598	0
199.553	0
200.508	0
201.463	0
202.418	0
203.372	0
204.327	0
205.282	0
206.237	0
207.192	0
208.146	0
209.101	0
210.056	0
211.011	0
211.966	0
212.920	0
213.875	0
214.830	0
215.785	0
216.740	0
217.694	0
218.649	0
219.604	0
220.559	0
221.514	0
222.468	0
