time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=10s
0.000	0
20.884	0
41.767	0
62.651	0
83.534	0
104.418	0
125.302	0
146.185	0
167.069	0
187.952	0
208.836	0
229.720	0
250.603	0
271.487	0
292.370	0
313.254	0
334.138	0
355.021	0
375.905	0
396.788	0
417.672	0
438.556	0
459.439	0
480.323	0
501.206	0
522.090	0
542.974	0
563.857	0
584.741	0
605.624	0
626.508	0
647.392	0
668.275	0
689.159	0
710.042	0
730.926	0
751.810	0
772.693	0
793.577	0
814.460	0
835.344	0
856.228	0
877.111	0
897.995	0
918.878	0
939.762	0
960.646	0
981.529	0
1002.413	0
1023.296	0
1044.180	0
1065.064	0
1085.947	0
1106.831	0
1127.714	0
1148.598	0
1169.482	0
1190.365	0
1211.249	0
1232.132	0
1253.016	0
1273.900	0
1294.783	0
1315.667	0
1336.550	0
1357.434	0
1378.318	0
1399.201	0
1420.085	0
1440.968	0
1461.852	0
1482.736	0
1503.619	0
1524.503	0
1545.386	0
1566.270	0
1587.154	0
1608.037	0
1628.921	0
1649.804	0
1670.688	0
1691.572	0
1712.455	0
1733.339	0
1754.222	0
1775.106	0
1795.990	0
1816.873	0
1837.757	0
1858.640	0
1879.524	0
1900.408	0
1921.291	0
1942.175	0
1963.058	0
1983.942	0
2004.826	0
2025.709	0
2046.593	0
2067.476	0
2088.360	0
2109.244	0
2130.127	0
2151.011	0
2171.894	0
2192.778	0
2213.662	0
2234.545	0
2255.429	0
2276.312	0
2297.196	0
2318.080	0
2338.963	0
2359.847	0
2380.730	0
2401.614	0
2422.498	0
2443.381	0
2464.265	0
2485.148	0
2506.032	0
2526.916	0
2547.799	0
2568.683	0
2589.566	0
2610.450	0
2631.334	0
2652.217	0
2673.101	0
2693.984	0
2714.868	0
2735.752	0
2756.635	0
2777.519	0
2798.402	0
2819.286	0
2840.170	0
2861.053	0
2881.937	0
2902.820	0
2923.704	0
2944.588	0
2965.471	0
2986.355	0
3007.238	0
3028.122	0
3049.006	0
3069.889	0
3090.773	0
3111.656	0
3132.540	0
3153.424	0
3174.307	0
3195.191	0
3216.074	0
3236.958	0
3257.842	0
3278.725	0
3299.609	0
3320.492	0
3341.376	0
3362.260	0
3383.143	0
3404.027	0
3424.910	0
3445.794	0
3466.678	0
3487.561	0
3508.445	0
3529.328	0
3550.212	0
3571.096	0
3591.979	0
3612.863	0
3633.746	0
3654.630	0
3675.514	0
3696.397	0
3717.281	0
3738.164	0
3759.048	0
3779.932	0
3800.815	0
3821.699	0
3842.582	0
3863.466	0
3884.350	0
3905.233	0
3926.117	0
3947.000	0
3967.884	0
3988.768	0
4009.651	0
4030.535	0
4051.418	0
4072.302	0
4093.186	0
4114.069	0
4134.953	0
4155.836	0
4176.720	0
4197.604	0
4218.487	0
4239.371	0
4260.254	0
4281.138	1002
4302.022	30
4322.905	0
4343.789	0
4364.672	0
4385.556	0
4406.440	0
4427.323	0
4448.207	0
4469.090	0
4489.974	0
4510.858	0
4531.741	0
4552.625	0
4573.508	0
4594.392	0
4615.276	0
4636.159	0
4657.043	0
4677.926	0
4698.810	0
4719.694	0
4740.577	0
4761.461	0
4782.344	0
4803.228	0
4824.112	0
4844.995	0
4865.879	0
4886.762	0
4907.646	0
4928.530	0
4949.413	0
4970.297	0
4991.180	0
5012.064	0
5032.948	0
5053.831	0
5074.715	0
5095.598	0
5116.482	0
5137.366	0
5158.249	0
5179.133	0
5200.016	0
5220.900	0
5241.784	0
5262.667	0
5283.551	0
5304.434	0
5325.318	0
