time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=8s
0.000	0
0.653	0
1.305	0
1.958	0
2.610	0
3.263	0
3.916	0
4.568	0
5.221	0
5.874	0
6.526	0
7.179	0
7.831	0
8.484	0
9.137	0
9.789	0
10.442	0
11.094	0
11.747	0
12.400	0
13.052	0
13.705	0
14.357	0
15.010	0
15.663	0
16.315	0
16.968	0
17.621	0
18.273	0
18.926	0
19.578	0
20.231	0
20.884	0
21.536	0
22.189	0
22.841	0
23.494	0
24.147	0
24.799	0
25.452	0
26.105	0
26.757	0
27.410	0
28.062	0
28.715	0
29.368	0
30.020	0
30.673	0
31.325	0
31.978	0
32.631	0
33.283	0
33.936	0
34.588	0
35.241	0
35.894	0
36.546	0
37.199	0
37.852	0
38.504	0
39.157	0
39.809	0
40.462	0
41.115	0
41.767	0
42.420	0
43.072	0
43.725	0
44.378	0
45.030	0
45.683	0
46.335	0
46.988	0
47.641	0
48.293	0
48.946	0
49.599	0
50.251	0
50.904	0
51.556	0
52.209	0
52.862	0
53.514	0
54.167	0
54.819	0
55.472	0
56.125	0
56.777	0
57.430	0
58.083	0
58.735	0
59.388	0
60.040	0
60.693	0
61.346	0
61.998	0
62.651	0
63.303	0
63.956	0
64.609	0
65.261	0
65.914	0
66.566	0
67.219	0
67.872	0
68.524	0
69.177	0
69.830	0
70.482	0
71.135	0
71.787	0
72.440	0
73.093	0
73.745	0
74.398	0
75.050	0
75.703	0
76.356	0
77.008	0
77.661	0
78.314	0
78.966	0
79.619	0
80.271	0
80.924	0
81.577	0
82.229	0
82.882	0
83.534	0
84.187	0
84.840	0
85.492	0
86.145	0
86.797	0
87.450	0
88.103	0
88.755	0
89.408	0
90.061	0
90.713	0
91.366	0
92.018	0
92.671	0
93.324	0
93.976	0
94.629	0
95.281	0
95.934	0
96.587	0
97.239	0
97.892	0
98.544	0
99.197	0
99.850	0
100.502	0
101.155	0
101.808	0
102.460	0
103.113	0
103.765	0
104.418	0
105.071	0
105.723	0
106.376	0
107.028	0
107.681	0
108.334	0
108.986	0
109.639	0
110.292	0
110.944	0
111.597	0
112.249	0
112.902	0
113.555	0
114.207	0
114.860	0
115.512	0
116.165	0
116.818	0
117.470	0
118.123	0
118.775	0
119.428	0
120.081	0
120.733	0
121.386	0
122.039	0
122.691	0
123.344	0
123.996	0
124.649	0
125.302	0
125.954	0
126.607	0
127.259	0
127.912	0
128.565	0
129.217	0
129.870	0
130.523	0
131.175	0
131.828	0
132.480	0
133.133	0
133.786	0
134.438	0
135.091	0
135.743	0
136.396	0
