time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=7s
0.000	0
5.221	0
10.442	0
15.663	0
20.884	0
26.105	0
31.325	0
36.546	0
41.767	0
46.988	0
52.209	0
57.430	0
62.651	0
67.872	0
73.093	0
78.314	0
83.534	0
88.755	0
93.976	0
99.197	0
104.418	0
109.639	0
114.860	0
120.081	0
125.302	0
130.523	0
135.743	0
140.964	0
146.185	0
151.406	0
156.627	0
161.848	0
167.069	0
172.290	0
177.511	0
182.732	0
187.952	0
193.173	0
198.394	0
203.615	0
208.836	0
214.057	0
219.278	0
224.499	0
229.720	0
234.941	0
240.161	0
245.382	0
250.603	0
255.824	0
261.045	0
266.266	0
271.487	0
276.708	0
281.929	0
287.150	0
292.370	0
297.591	0
302.812	0
308.033	0
313.254	0
318.475	0
323.696	0
328.917	0
334.138	0
339.359	0
344.579	0
349.800	0
355.021	0
360.242	0
365.463	0
370.684	0
375.905	0
381.126	0
386.347	0
391.568	0
396.788	0
402.009	0
407.230	0
412.451	0
417.672	0
422.893	0
428.114	0
433.335	0
438.556	0
443.777	0
448.997	0
454.218	0
459.439	0
464.660	0
469.881	0
475.102	0
480.323	0
485.544	0
490.765	0
495.986	0
501.206	0
506.427	0
511.648	0
516.869	0
522.090	0
527.311	0
532.532	0
537.753	0
542.974	0
548.195	0
553.415	0
558.636	0
563.857	0
569.078	0
574.299	0
579.520	0
584.741	0
589.962	0
595.183	0
600.404	0
605.624	0
610.845	0
616.066	0
621.287	0
626.508	0
631.729	0
636.950	0
642.171	0
647.392	0
652.613	0
657.833	0
663.054	0
668.275	0
673.496	0
678.717	0
683.938	0
689.159	0
694.380	0
699.601	0
704.822	0
710.042	0
715.263	0
720.484	0
725.705	0
730.926	0
736.147	0
741.368	0
746.589	0
751.810	0
757.031	0
762.251	0
767.472	0
772.693	0
777.914	0
783.135	0
788.356	0
793.577	0
798.798	0
804.019	0
809.240	0
814.460	0
819.681	0
824.902	0
830.123	0
835.344	0
840.565	0
845.786	0
851.007	0
856.228	0
861.449	0
866.669	0
871.890	0
877.111	0
882.332	0
887.553	0
892.774	0
897.995	0
903.216	0
908.437	0
913.658	0
918.878	0
924.099	0
929.320	0
934.541	0
939.762	0
944.983	0
950.204	0
955.425	0
960.646	0
965.867	0
971.087	0
976.308	0
981.529	0
986.750	0
991.971	0
997.192	0
1002.413	0
1007.634	0
1012.855	0
1018.076	0
1023.296	0
1028.517	0
1033.738	0
1038.959	0
1044.180	0
1049.401	0
1054.622	0
1059.843	0
1065.064	0
1070.285	0
1075.505	0
1080.726	0
1085.947	0
1091.168	0
1096.389	0
1101.610	0
1106.831	0
1112.052	0
1117.273	0
1122.494	0
1127.714	0
1132.935	0
1138.156	0
1143.377	0
1148.598	0
1153.819	0
1159.040	0
1164.261	0
1169.482	0
1174.703	0
1179.923	0
1185.144	0
1190.365	0
1195.586	0
1200.807	0
1206.028	0
1211.249	0
1216.470	0
1221.691	0
1226.912	0
1232.132	0
1237.353	0
1242.574	0
1247.795	0
1253.016	0
1258.237	0
1263.458	0
1268.679	0
1273.900	0
1279.121	0
1284.341	0
1289.562	0
1294.783	0
1300.004	0
1305.225	0
1310.446	0
1315.667	0
1320.888	0
1326.109	0
1331.330	0
1336.550	0
1341.771	0
1346.992	0
1352.213	0
1357.434	0
1362.655	0
1367.876	0
1373.097	0
1378.318	0
1383.539	0
1388.759	0
1393.980	0
1399.201	0
1404.422	0
1409.643	0
1414.864	0
1420.085	0
1425.306	0
1430.527	0
1435.748	0
1440.968	0
1446.189	0
1451.410	0
1456.631	0
1461.852	0
1467.073	0
1472.294	0
1477.515	0
1482.736	0
1487.957	0
1493.177	0
1498.398	0
1503.619	0
1508.840	0
1514.061	0
1519.282	0
1524.503	0
1529.724	0
1534.945	0
1540.166	0
1545.386	0
1550.607	0
1555.828	0
1561.049	0
1566.270	0
1571.491	0
1576.712	0
1581.933	0
1587.154	0
1592.375	0
1597.595	0
1602.816	0
1608.037	0
1613.258	0
1618.479	0
1623.700	0
1628.921	0
1634.142	0
1639.363	0
1644.584	0
1649.804	0
1655.025	0
1660.246	0
1665.467	0
1670.688	0
1675.909	0
1681.130	0
1686.351	0
1691.572	0
1696.793	0
1702.013	0
1707.234	0
1712.455	0
1717.676	0
