nm	02_Sample_Exc=300nm_Em=450nm_T=300K_I=10mkA_Fon=201.txt
490.000	46996.5	0.0
491.998	46996.0	0.0
493.996	46996.0	0.0
495.994	46996.0	0.0
497.992	46996.5	0.0
502.990	46996.0	0.0
507.988	46996.5	0.0
512.986	46996.0	0.0
517.984	46996.0	0.0
522.982	46996.0	0.0
527.980	46996.0	0.0
532.978	46996.0	0.0
537.976	46996.0	0.0
542.974	46996.0	0.0
547.972	46996.0	0.0
552.970	46996.5	0.0
572.968	46996.0	0.0
592.966	46996.0	0.0
